Date,TA125 Price,Return,Moving Average 12 month,Moving Std 12 month,Rolling Yearly Return,TA125
1996-07-01,177.25999450683594,-0.09505824949880004,-0.004699008043596113,0.05104019533354887,-0.0686213341466223,0.9604984642407328
1996-08-01,181.19000244140625,0.022170867969979247,-0.008666203064344883,0.04636077569038923,-0.11006877696612416,0.9817935488767819
1996-09-01,186.72000122070312,0.030520440999967313,-0.005418837741516497,0.04772224334225739,-0.07509413163978007,1.0117583209594243
1996-10-01,187.02999877929688,0.0016602268453680402,-0.002044234841031667,0.046562133456555514,-0.036126544781409864,1.0134380692849057
1996-11-01,198.9199981689453,0.06357268602497901,0.0029657418585190185,0.05029234324955348,0.021621854603830704,1.0778650494693158
1996-12-01,211.0399932861328,0.06092899270436258,0.002256779650612495,0.049320710849223626,0.013494681920228846,1.1435382812047192
1997-01-01,242.33999633789062,0.14831313517585532,0.013955876382007293,0.06495856947206792,0.1546597612917071,1.3131400288838
1997-02-01,253.13999938964844,0.044565499772887485,0.017213060337364156,0.06547279714450595,0.19954509242257923,1.3716607705427903
1997-03-01,245.63999938964844,-0.029627873975205055,0.020971465192398592,0.060846178221860725,0.2580149866850925,1.331021378096416
1997-04-01,255.11000061035156,0.03855235810223756,0.020445552490947694,0.06064785086397033,0.25041660262717125,1.3823353909065226
1997-05-01,274.3900146484375,0.07557529689921383,0.027821819281679327,0.06159365979135987,0.3625484556329768,1.4868057984885739
1997-06-01,284.9800109863281,0.03859468556630641,0.033314005548929305,0.059119267087625174,0.4548703485933685,1.5441886007794012
1997-07-01,306.1400146484375,0.07425083460721926,0.04742309589109758,0.043956131121281654,0.7270677204981599,1.658845893178226
1997-08-01,280.79998779296875,-0.0827726714672321,0.03867780093799664,0.0577211610101118,0.5497543132037579,1.5215387870474173
1997-09-01,295.5899963378906,0.052670972891303736,0.04052367859560801,0.05779071636685853,0.5830655227369195,1.601679715253059
1997-10-01,279.0199890136719,-0.05605740224468725,0.03571387617143673,0.06344458052803625,0.491846178873834,1.5118937111879622
1997-11-01,285.5799865722656,0.023510851612399408,0.032375389970388434,0.06289704243857634,0.4356524693395527,1.5474396198854223
1997-12-01,290.9599914550781,0.01883887224517089,0.028867879932122458,0.062331018825252556,0.37869598517560576,1.5765916371915594
1998-01-01,267.05999755859375,-0.08214185660702544,0.00966329728354906,0.057498549907022384,0.10200545347139656,1.4470874730015348
1998-02-01,282.25,0.05687861372077463,0.010689390112539656,0.0582825434845007,0.11499565726688532,1.529395802398561
1998-03-01,302.7900085449219,0.07277239519901468,0.019222745877057967,0.05932989698215942,0.23265758547987447,1.640693598146423
1998-04-01,307.3800048828125,0.015159008581386635,0.017273300083653725,0.05902055067383156,0.20489202362668957,1.6655648864801509
1998-05-01,326.82000732421875,0.06324419979372986,0.016245708658196727,0.05801191795898944,0.19107835517614302,1.7709022049301226
1998-06-01,319.0400085449219,-0.023805148414854593,0.011045722493099977,0.05861998184619158,0.11951714592441287,1.7287456151135678
1998-07-01,318.6300048828125,-0.0012851167600556046,0.0047510598791604035,0.055169997658785976,0.04079829371119015,1.7265239751497126
